104.00	20141101	Hermann Traub	Offenbarung 15,5-8	Offb 15,5-8	Keine Angst vor Gottes Gericht	Wichtig ist: die Zornesschalen sind zeitlich befristete Plagen, Schrecknisse undEreignisse. Sie gehen ausvonGott, "der da lebt vonEwigkeit zu Ewigkeit". Und wer heute und zu seiner Lebenszeit mit diesem ewigen Gott in Beziehung tritt, der braucht vor Zornesschalen und den dazugehörigen Gerichten keine Angst zu haben. Gerichtet werden auch nur die, die sich vorher dem Satansdienst verschrieben haben, die "sein Tier" angebetet haben (Offb 16,2). Gottes Strafe für Götzendienst ist nicht abzuwenden. Diesen Gedanken greift Paulus in Römer 1 auf. Dort wird die ganze gottlose Lebenspraxis als Götzendienst bezeichnet. Wer die Gebote Gottes, seine Lebensanweisungen missachtet, der fällt unter das Gericht Gottes. Wer das von Gott Geschaffene anbetet und nicht ihn, der wird dem Gericht preisgegeben. Dazu gehört auch jede Lebensweise, die Gottes Schöpfung widerspricht. Götzenanbetung (Stars sind moderne Götzen), praktizierte Homosexualität, Geldgier und viele andere Abweichungen von Gottes Geboten werden hier genannt. Gott lässt sich nicht spotten. Er zieht alle zur Rechenschaft, die sich nicht versöhnen lassen mit ihm. Deshalb gilt die Einladung: Kehr um, vertraue dich Jesus an! Er allein kann dich aus jedem Götzendienst befreien.			Lernt, Gutes zu tun! Sorgt für das Recht! Helft den Unterdrückten! Verschafft den Waisen Recht, tretet ein für die Witwen!	Jesaja 1,17
81	20141102	von Sina Rittsteiger	Psalm 139	Ps 139	Ein Psalm für unser ganzes Leben	Er kennt dich durch und durch - diese Zusage formuliert der Psalmdichter David. Verbunden mit dieser Aussage ist die allumfassende Wirklichkeit Gottes. Er kennt dich und weiß um alles, sogar um die Dinge, die du selbst (noch) nicht weißt und verstanden hast. Für manchen mag dies wie eine Drohung klingen, denn an keinem Ort in oder außerhalb dieser Welt könnten wir uns vor Gott verstecken, er ist überall bei uns. David hat dies verstanden und in eindrucksvolle Verse verpackt. Anstatt Angst, Sorge oder Scham darüber zu haben, was Gott denn von ihm denken könnte, bekennt er Gott alle seine Gedanken und Gefühle. Es lohnt sich, diesen Psalm einmal genau zu analysieren und herauszufinden, was alles in ihm steckt: Lob, Anbetung, Dank, Bitte, Klage, Freude, Leid, Hass und Bekenntnis - alles hat David untergebracht. Hoffentlich erinnert uns das an unser eigenes Leben und unsere Gottesbeziehung. Vielleicht kann der Psalm eine Erinnerung an uns werden, wieder alles und nicht nur die Sonnen-oder Schattenseiten unseres Lebens vor Gott hinzulegen. Er will uns und unser Leben ganz, mit allen Höhen, Tiefen und alltäglichen Kleinigkeiten. Vor ihm, der unser Leben erdacht und geschaffen hat, können und müssen wir sowieso nichts verbergen.	Es ist dir gesagt, Mensch, was gut ist und was der Herr von dir fordert, nämlich Gottes Wort halten und Liebe üben und demütig sein vor deinem Gott.	Micha 6,8		
104.01	20141103	Sina Rittsteiger	Offenbarung 16,1-9	Offb 16,1-9	Das Bild von Gott bestimmt das Handeln	Gott stellt sich den ungläubigen Menschen anders vor, als den, den sie vielleicht so oft als den "lieben Gott" abgetan haben, ohne sich jemals wirklich an ihn zu wenden. Die ersten vier der Schalen seines Zorns werden nun von den Engeln ausgeleert und damit eine Zerstörung eingeleitet, die für uns kaum vorstellbar ist. Passt hier noch die Aussage des Engels und des Thrones "gerecht und heilig" (V. 5.7)? Können wir hier einen Gott erkennen, der gerechte Strafen verhängt? Ja und noch viel mehr nimmt uns Vers 6 die Last der Rache (vgl. Röm 12,19-21) - Gott selbst vollzieht sie an den Verfolgern von Glaube und Gläubigen, dabei begegnet uns aber kein unkontrollierter Jähzorn. Noch viel mehr begegnet uns Gott als ein mächtiger Gott (V. 8 f.), der sich nur eines zu wünschen scheint: dass die ungläubigen Menschen erkennen, dass sie die falschen Götzen anbeten und dass sich die Umkehr zu ihm lohnt. Während sie nur weiter verfluchen, dürfen wir ihn als den anbeten, der gerecht, heilig und mächtig ist. Auch heute schon erkannt zu haben, wen es sich lohnt anzubeten (V. 2), versetzt mich wieder neu in Ehrfurcht vor seiner Größe und nimmt mir die Angst vor seinem Zorn.				
104.01	20141104	Sina Rittsteiger	Offenbarung 16,10-16	Offb 16,10-16	Wie lange müssen wir noch warten?	Viele Geschichten und Mythen ranken sich um Harmagedon und den dort stattfindenden Kampf. Während wir im Text erst einmal nur erfahren, wie es zu diesem Ereignis kommen wird, wird dem Leser seine Grausamkeit vor Augen geführt. Die Nähe zum Alten Testament, dem Auszug aus Ägypten, den Plagen u.v.m. wird in Bildern deutlich gemacht, die die ersten Leser in Schaudern versetzten. Ein Ort, der bereits Schauplatz mehrerer Kämpfe war (Ri 4 und 7), Könige, die mit ihren Armeen zum Kampf ziehen (unzählige Male mussten die Israeliten andere Völker fürchten), und dazu böse Geister, deren Aussehen unreinen (und somit verachtenswerten) Tieren gleicht (3. Mose 11,10 f.). Mittendrin die ungläubigen Menschen, die unter Schmerzen und Geschwüren leiden. Dabei wird leider wieder eines deutlich: Selbst die größte Qual kann keinen Menschen zur Umkehr zwingen. Gott wünscht sich die freiwillige Hinwendung zu ihm. Das geschilderte Übel muss uns nicht verzweifeln lassen, aber beinhaltet die Anweisung "wachsam" zu sein. Egal ob wir morgen oder in tausend Jahren mit der Schlacht rechnen, müssen wir uns heute schon diese Frage stellen: Wie sieht diese Wachsamkeit in meinem Leben praktisch aus? (vgl. Mt 25,1-13)				
104.01	20141105	Sina Rittsteiger	Offenbarung 16,17-21	Offb 16,17-21	Alles vorbei?!	Die letzte Schale wird ausgegossen und die letzte Plage eingeleitet. Der Kampf befindet sich gerade in seiner ersten Stunde und ist dabei gleichzeitig das Ende einer langen Vorgeschichte. Nun wird für alle Zeiten mit Babylon abgerechnet, der Zorn Gottes wird ihr in einem Weinbecher gereicht, an dem die Stadt sich berauschen kann. Nicht nur die Stadt und die Menschen erleiden Qualen, auch die Erde verändert sich durch den Einfluss von Naturgewalten. Begegnen uns hier verdiente Weltuntergangsszenarien? Ein Teil der Menschen verflucht Gott weiterhin und auch bei den Städten gibt es Unterschiede. Während die große Stadt zu ihrem Vorteil hin zerfällt (vermutlich ist Jerusalem gemeint; vgl. Sach 14,1-8), werden die Städte der Heiden, allen voran Babylon, endgültig zerstört. Diese Städte vereinen alles Böse, z.B. die Abkehr von Gott in sich und ihre Zerstörung wurde schon lange angekündigt (Jes 13,6-13). Welche Hoffnung schenkt uns die Errichtung des neuen Jerusalems für alle Gläubigen? Eine neue Stadt, in der Angst, Hass, Gewalt und Gottlosigkeit keine Macht mehr über die Menschen haben. Ein wahrlich "himmlisches Zuhause" für uns, in dem das Leben erst noch einmal so richtig anfängt.				
104.01	20141106	Sina Rittsteiger	Offenbarung 17,1-6	Offb 17,1-6	Der Einfluss der Macht	Johannes bekommt die Hure gezeigt, die auf ihrem Tier sitzt. Sie zu sehen versetzt ihn in einen Zustand von Erschrecken und Entsetzen, obwohl sie von Aussehen und Kleidung her wie eine wahre Königin beschrieben wird (V. 4). Der Glanz einer prächtigen Herrscherin wird durch den Inhalt ihres Bechers und dem Namen auf ihrer Stirn getrübt. Alles, was Gott verhöhnt und abweist, was ihm die Ehre nimmt, die ihm als dem heiligen und allmächtigen Gott gebührt, vereint sich in Wein und Name. Ihre eigentliche Gefahr und Größe zeigt sich vor allem in ihrem Einfluss auf die Menschen, der über die ganze Erde verbreitet ist (V. 1). Sie wird als Mutter und Urheberin alles Widergöttlichen beschrieben, betrunken vom Blut derer, die für ihren Glauben an Christus gestorben sind. Für die Mächtigen und Könige war sie kein Grund für Angst, sondern eine Verbündete, die sie berauscht und verführt zu haben scheint. Auch heute schon finden wir in unserer Welt und Kultur Ideen, Aussagen, Dinge, Events und Menschen, die toll aussehen, dabei aber Gott und seinen Namen lächerlich machen und in den Dreck ziehen. Wo begegnet dir solche "Verhöhnung" Gottes? Wann musstest du selbst schon einmal darunter leiden, Christ zu sein?				
104.01	20141107	Sina Rittsteiger	Offenbarung 17,7-14	Offb 17,7-14	Hast du's kapiert?	"Hier ist Weisheit von Gott gefragt" (V. 9)! - Diese Aussage des Engels gilt für die ganze Offenbarung. Nur Gott weiß, wie es am Ende sein wird und was die Bilder und Geschehnisse genau bedeuten. Gottes Weisheit und Verstand lassen uns wenigstens teilweise verstehen, was wir lesen, aber gleichzeitig zeigen sie deutlich, dass es uns z.B. nicht weiterbringt darüber zu spekulieren, wer die Könige sein werden (oder waren), deren Herrschaft das Ende einläuten. Wichtig ist hingegen die Tatsache, dass diese ihre Kraft in den Dienst des Tieres stellen werden. Gar nicht so einfach immer zu durchblicken, in wessen Macht Herrscher handeln, aber genau aus diesem Grund haben wir als Christen den Heiligen Geist und die Bibel bekommen, um zu verstehen, was Gottes Willen gemäß ist und wer oder was nicht. Einer Sache dürfen wir uns aber gewiss sein: wenn wir auf der Seite des Lammes stehen, sind wir auf der Gewinnerseite. Was für den Verstand unlogisch erscheint - ein Lamm, das als Sieger hervorgehen wird -, wird für uns zum Lebensretter und Garant der Ewigkeit. So geht es auch heute schon vielen Menschen, wenn sie hören, dass Jesus am Kreuz für ihre Sünden gestorben ist. Was nicht logisch klingt, ist unsere Kraft (vgl. 1. Kor 1,18).				
104.01	20141108	Sina Rittsteiger	Offenbarung 17,15-18	Offb 17,15-18	Vertrauen auf das, was Bestand hat	Die Lästerung Gottes nimmt eine dramatische Wende: das System beginnt sich selbst zu zerstören. Die Hure, gerade noch angebetetes Verbindungsglied der gottlosen Machthaber und aller Ablehnung Gottes, wird nun von ihnen selbst vernichtet. Gott wirkt dieses Szenario, indem er den Königen diesen Gedanken eingibt (V. 17). Er bleibt in Kontrolle und dabei vor allem seinen Ankündigungen treu bzw. führt alles ans Ziel (vgl. Jes 46,10). All das zeugt von seiner Vertrauenswürdigkeit, die ganz anders ist als unsere menschlich oft so übliche Unentschlossenheit und das selbst erkämpfte Recht, sich nicht festlegen zu wollen. Es ermutigt zu wissen, dass er Herr über allem ist und bleibt und seine Worte auf ewig Bestand haben. Noch viel mehr beruhigt es zu wissen, dass diese Zuverlässigkeit eben nicht nur für alle Drohungen, sondern auch für alle seine Zusagen gilt, die wir in der Bibel finden. In allem Chaos der Zerstörung behält Gott den Überblick und seine Pläne gehen weiter, wie unser eigener Verstand, der oft keine Ordnung hineinbringen kann. Das gilt auch schon heute in deinem Leben, wenn du Gott Herr sein lässt. In Zeiten von Leid und Sorgen ist er da und du darfst ihn bitten einzugreifen und Durchblick und Ausweg zu zeigen.				
48	20141109	Holger Noack	Psalm 75	Ps 75	Der Richter	Wenn alles wankt, worauf können wir uns verlassen? Wenn Menschen hochmütig und selbstsüchtig ihre Macht herausstellen? Wenn sie diejenigen, die sich an Gottes Willen halten, verächtlich machen? Wenn es leichter scheint, ohne Gott sein Leben zu führen, anstatt ihm zu vertrauen? Dann gilt: "Gott ist Richter" (V. 8a). Er hat es in der Hand, denjenigen, der sich selbst erhöht, zu erniedrigen, und den, der erniedrigt wird, zu erhöhen (V. 8b). Gott weist die Hochmütigen zurecht: "Rühmt euch nicht so" (V. 5)! Und er fährt den Gottlosen über den Mund: "Pocht nicht auf Gewalt" (V. 6)! Noch scheinen die Hochmütigen und Gottlosen die Macht zu haben, den eigenen Willen durchzusetzen und die Gottesfürchtigen an den Rand zu drängen. Doch Gott lässt sich das Heft nicht aus der Hand nehmen: "Wenn meine Zeit gekommen ist, werde ich recht richten" (V. 3). Und wenn wir zutiefst verunsichert sind, weil unsere Welt aus der Balance geraten ist, so wissen wir, dass Gott alles wieder ins Lot bringen wird (V. 4). Seine Gerechtigkeit wird diese Welt erneuern und erhalten. Das ist schon jetzt ein guter Grund, Gott zu loben, und das, was er für uns getan hat, seine Wunder, weiterzutragen und weiterzusagen (V. 2).	Siehe, jetzt ist die Zeit der Gnade, siehe, jetzt ist der Tag des Heils!	2. Korinther 6,2b		
104.02	20141110	Holger Noack	Offenbarung 18,1-24	Offb 18,1-24	Der Untergang	Nur noch rauchende Trümmer: alles, was von der großen, reichen, verführerischen Stadt Babylon übrig geblieben ist. Das Zentrum der Gottlosigkeit der Welt ist zerstört. Man kann es kaum glauben, wie schnell es geschehen ist: "In einer Stunde ist sie verwüstet!", klagen ihre früheren Gönner und Handelspartner (V. 19). Sie hat die Völker dazu verführt, Gott den Rücken zu kehren und sich anderen Mächten zuzuwenden (V. 3). Sie hat sich sicher gefühlt, unangreifbar, selbstbewusst. Durch ihre vielen Kontakte war sie reich und mächtig geworden, sodass sie sogar wagte, Gott herauszufordern. "Es geht auch ohne Gott - und es lebt sich besser, weil ausschweifender", war ihr Leitgedanke. Doch ihre Gottlosigkeit trägt nicht. Ihre Macht ist kein Schutz. Ihr Reichtum ist keine Garantie für eine glänzende Zukunft. Ein einprägsames Bild: Die Gottlosigkeit zerstört sich selbst und reißt andere mit in ihr Unheil. Gottes Gericht lässt sich nicht aufhalten. Und so setzt sich die Erkenntnis durch: "Stark ist Gott, der Herr, der sie richtet" (V. 8). Der Untergang Babylons macht deutlich: Die Gottlosigkeit wird gerichtet, damit die Welt gerettet wird.				
